web-scraper-order,web-scraper-start-url,year,year-href,month,month-href,Day,Temp,TMax,Tmin,SLP,Humidity,PPresure,VVisiblity,VavgWindSpeed,VMWindSpeed,VGspeed,RAin,SNow,TStrom,FoG
1576011858-3968,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,28,20.8,27.3,15.7,1015.8,48,0,3.5,2.8,3.5,-,,,,
1576011858-3969,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,29,20.3,27.5,15.2,1014.9,49,0,3.1,2.2,5.4,-,,,,
1576011858-3970,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,30,20.6,27.1,16.6,1014.2,52,0,3.1,1.3,5.4,-,,,,
1576011858-3971,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,31,,,,,,,,,,,,,,
1576011858-3972,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,Monthly means and totals:,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1576011858-3973,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,,17.7,23.9,13.8,1015.5,70.4,0,2.5,2.8,6.2,,0,0,0,9
1576011850-3911,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,1,19.3,27,13.2,1014.2,42,0,4.2,3.7,9.4,-,,,,
1576011850-3912,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,2,19.3,28.1,12.8,1013.7,53,0,3.2,0.9,3.5,-,,,,
1576011850-3913,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,3,19.7,27.3,14,1013.9,47,0,3.1,0.9,3.5,-,,,,
1576011850-3914,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,4,,,,,,,,,,,,,,
1576011850-3915,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,5,,,,,,,,,,,,,,
1576011850-3916,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,6,,,,,,,,,,,,,,
1576011850-3917,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,7,19.6,28.2,12.8,1014,56,0,3.5,0.9,3.5,-,,,,
1576011850-3918,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,8,20.7,28.2,14.1,1011.5,62,0,3.2,1.3,5.4,-,,,,
1576011850-3919,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,9,21.4,28.3,16,1012,66,0,2.6,0.9,3.5,-,,,,
1576011850-3920,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,10,,,,,,,,,,,,,,
1576011850-3921,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,11,,,,,,,,,,,,,,
1576011850-3922,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,12,,,,,,,,,,,,,,
1576011850-3923,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,13,22.8,28.5,19.6,1012.4,55,0,4,10.2,27.8,-,,,,
1576011850-3924,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,14,23.5,28.7,19.7,1011.6,55,0,4.2,2.8,3.5,-,,,,
1576011850-3925,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,15,22.7,29.1,18.8,1013.1,48,0,4,1.9,3.5,-,,,,
1576011850-3926,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,16,,,,,,,,,,,,,,
1576011850-3927,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,17,,,,,,,,,,,o,,,
1576011850-3928,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,18,,,,,,,,,,,,,,
1576011850-3929,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,19,21.4,28.8,14.8,1014.1,43,0,4,1.3,5.4,-,,,,
1576011850-3930,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,20,22.3,29.3,16.3,1013.6,49,0,4,3.1,7.6,-,,,,
1576011850-3931,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,21,21.9,28.7,15.2,1013.9,47,0,4,1.3,5.4,-,,,,
1576011850-3932,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,22,,,,,,,,,,,,,,
1576011850-3933,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,23,,,,,,,,,,,,,,
1576011850-3934,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,24,,,,,,,,,,,o,,,
1576011850-3935,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,25,24.8,30.3,20.6,1010.2,75,1.27,4.2,1.9,3.5,-,,,,
1576011850-3936,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,26,24.9,31.2,21,1011.5,-,0,3.5,0,-,-,,,,
1576011850-3937,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,27,24.8,31.2,20.4,1010.3,56,0,4,0.9,3.5,-,,,,
1576011850-3938,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,28,,,,,,,,,,,,,,
1576011850-3939,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,Monthly means and totals:,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1576011850-3940,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,February,https://en.tutiempo.net/climate/02-2010/ws-419230.html,,22.1,28.9,16.7,1012.7,54.2,48,3.7,2.4,7.2,,2,0,0,0
1576011840-3878,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,1,26.2,33.4,20.4,1010.3,50,0,4,1.3,5.4,-,,,,
1576011840-3879,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,2,27,33.4,22.6,1008.4,61,0,4.2,3.1,5.4,-,,,,
1576011840-3880,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,3,27,34.3,22.8,1007,67,0,5,6.9,14.8,-,,,,
1576011840-3881,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,4,,,,,,,,,,,,,,
1576011840-3882,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,5,,,,,,,,,,,,,,
1576011840-3883,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011840-3884,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,7,,,,,,,,,,,,,,
1576011840-3885,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,8,27.8,33.5,23.4,1011.4,41,0,5.3,2.8,3.5,-,,,,
1576011840-3886,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,9,26.7,32.5,22.7,-,35,0,5.3,2.8,7.6,-,,,,
1576011840-3887,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,10,26.1,32,21.6,1013.8,35,0,5.3,1.3,5.4,-,,,,
1576011840-3888,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,11,,,,,,,,,,,,,,
1576011840-3889,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,12,,,,,,,,,,,,,,
1576011840-3890,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,13,,,,,,,,,,,,,,
1576011840-3891,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,14,23.7,34.7,13.4,1009.1,-,0,4.5,5.2,7.6,-,,,,
1576011840-3892,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011840-3893,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,16,26.6,33,20.6,1012.3,51,0,4.8,1.9,3.5,-,,,,
1576011840-3894,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,17,27.7,34.1,23.1,1013.7,52,0,4.8,0.9,3.5,-,,,,
1576011840-3895,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,18,,,,,,,,,,,,,,
1576011840-3896,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,19,,,,,,,,,,,,,,
1576011840-3897,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,20,,,,,,,,,,,,,,
1576011840-3898,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,21,29.8,37.3,21.8,1006.2,43,0,4.8,0.9,3.5,-,,,,
1576011840-3899,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,22,29.6,35,26.4,1003.3,64,0,4.8,2.8,3.5,-,,,,
1576011840-3900,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,23,29.6,35.7,26,1002.3,68,0,4.8,11.1,13,-,,,,
1576011840-3901,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,24,,,,,,,,,,,,,,
1576011840-3902,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,25,,,,,,,,,,,,,,
1576011840-3903,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,26,,,,,,,,,,,,,,
1576011840-3904,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,27,28.8,33.7,25.8,1006.8,72,0,4.8,6.1,7.6,-,,,,
1576011840-3905,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,28,29.6,33.8,26.3,1006.9,68,0,5.3,8.7,14.8,-,,,o,
1576011840-3906,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,29,29.8,34.7,26.2,1006.6,63,0,4.8,8,9.4,-,,,,
1576011840-3907,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,30,,,,,,,,,,,,,,
1576011840-3908,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,31,,,,,,,,,,,,,,
1576011840-3909,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,Monthly means and totals:,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1576011840-3910,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,March,https://en.tutiempo.net/climate/03-2010/ws-419230.html,,28,34.2,23.4,1008.6,55.8,0,4.9,4,7.2,,0,0,1,0
1576011830-3846,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,1,30.4,36.1,27.8,1003.7,71,0,4.8,8.3,11.1,-,,,,
1576011830-3847,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,2,30.7,35.1,27.8,1006.2,66,0,5,8,9.4,-,,,,
1576011830-3848,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,3,30.3,35.4,27.3,1007.3,67,0,5.3,7.4,11.1,-,,,,
1576011830-3849,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,4,,,,,,,,,,,,,,
1576011830-3850,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,5,,,,,,,,,,,,,,
1576011830-3851,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,6,,,,,,,,,,,,,,
1576011830-3852,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,7,30.8,36.3,27.8,1009.9,64,0,5.3,4.6,7.6,-,,,,
1576011830-3853,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,8,31,37,26,1009.1,63,0,5.3,11.5,37,-,,,,
1576011830-3854,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,9,30.7,37.3,26.8,1004.5,72,0,5.3,6.1,7.6,-,,,,
1576011830-3855,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,10,,,,,,,,,,,,,,
1576011830-3856,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,11,,,,,,,,,,,,,,
1576011830-3857,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,12,,,,,,,,,,,,,,
1576011830-3858,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011830-3859,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,14,30.9,35.2,28.2,1007.1,65,0,5.5,7.4,9.4,-,o,,,
1576011830-3860,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,April,https://en.tutiempo.net/climate/04-2010/ws-419230.html,15,31.6,36.1,28,1009,62,0,5.8,3.1,5.4,-,,,,
