year,month,day,Temp,TMax,Tmin,SLP,Humidity,PPresure,VVisiblity,VavgWindSpeed,VMWindSpeed,VGspeed,RAin,SNow,TStrom,FoG
2010,January,30,20.6,27.1,16.6,1014.2,52,0,3.1,1.3,5.4,-,,,,
2010,January,31,,,,,,,,,,,,,,
2010,February,1,19.3,27,13.2,1014.2,42,0,4.2,3.7,9.4,-,,,,
2010,February,2,19.3,28.1,12.8,1013.7,53,0,3.2,0.9,3.5,-,,,,
2010,February,3,19.7,27.3,14,1013.9,47,0,3.1,0.9,3.5,-,,,,
2010,February,4,,,,,,,,,,,,,,
2010,February,5,,,,,,,,,,,,,,
2010,February,6,,,,,,,,,,,,,,
2010,February,7,19.6,28.2,12.8,1014,56,0,3.5,0.9,3.5,-,,,,
2010,February,8,20.7,28.2,14.1,1011.5,62,0,3.2,1.3,5.4,-,,,,
2010,February,9,21.4,28.3,16,1012,66,0,2.6,0.9,3.5,-,,,,
2010,February,10,,,,,,,,,,,,,,
2010,February,11,,,,,,,,,,,,,,
2010,February,12,,,,,,,,,,,,,,
2010,February,13,22.8,28.5,19.6,1012.4,55,0,4,10.2,27.8,-,,,,
2010,February,14,23.5,28.7,19.7,1011.6,55,0,4.2,2.8,3.5,-,,,,
2010,February,15,22.7,29.1,18.8,1013.1,48,0,4,1.9,3.5,-,,,,
2010,February,16,,,,,,,,,,,,,,
2010,February,17,,,,,,,,,,,o,,,
2010,February,18,,,,,,,,,,,,,,
2010,February,19,21.4,28.8,14.8,1014.1,43,0,4,1.3,5.4,-,,,,
2010,February,20,22.3,29.3,16.3,1013.6,49,0,4,3.1,7.6,-,,,,
2010,February,21,21.9,28.7,15.2,1013.9,47,0,4,1.3,5.4,-,,,,
2010,February,22,,,,,,,,,,,,,,
2010,February,23,,,,,,,,,,,,,,
2010,February,24,,,,,,,,,,,o,,,
2010,February,25,24.8,30.3,20.6,1010.2,75,1.27,4.2,1.9,3.5,-,,,,
2010,February,26,24.9,31.2,21,1011.5,-,0,3.5,0,-,-,,,,
2010,February,27,24.8,31.2,20.4,1010.3,56,0,4,0.9,3.5,-,,,,
2010,February,28,,,,,,,,,,,,,,
2010,March,1,26.2,33.4,20.4,1010.3,50,0,4,1.3,5.4,-,,,,
2010,March,2,27,33.4,22.6,1008.4,61,0,4.2,3.1,5.4,-,,,,
2010,March,3,27,34.3,22.8,1007,67,0,5,6.9,14.8,-,,,,
2010,March,4,,,,,,,,,,,,,,
2010,March,5,,,,,,,,,,,,,,
2010,March,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,March,7,,,,,,,,,,,,,,
2010,March,8,27.8,33.5,23.4,1011.4,41,0,5.3,2.8,3.5,-,,,,
2010,March,9,26.7,32.5,22.7,-,35,0,5.3,2.8,7.6,-,,,,
2010,March,10,26.1,32,21.6,1013.8,35,0,5.3,1.3,5.4,-,,,,
2010,March,11,,,,,,,,,,,,,,
2010,March,12,,,,,,,,,,,,,,
2010,March,13,,,,,,,,,,,,,,
2010,March,14,23.7,34.7,13.4,1009.1,-,0,4.5,5.2,7.6,-,,,,
2010,March,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,March,16,26.6,33,20.6,1012.3,51,0,4.8,1.9,3.5,-,,,,
2010,March,17,27.7,34.1,23.1,1013.7,52,0,4.8,0.9,3.5,-,,,,
2010,March,18,,,,,,,,,,,,,,
2010,March,19,,,,,,,,,,,,,,
2010,March,20,,,,,,,,,,,,,,
2010,March,21,29.8,37.3,21.8,1006.2,43,0,4.8,0.9,3.5,-,,,,
2010,March,22,29.6,35,26.4,1003.3,64,0,4.8,2.8,3.5,-,,,,
2010,March,23,29.6,35.7,26,1002.3,68,0,4.8,11.1,13,-,,,,
2010,March,24,,,,,,,,,,,,,,
2010,March,25,,,,,,,,,,,,,,
2010,March,26,,,,,,,,,,,,,,
2010,March,27,28.8,33.7,25.8,1006.8,72,0,4.8,6.1,7.6,-,,,,
2010,March,28,29.6,33.8,26.3,1006.9,68,0,5.3,8.7,14.8,-,,,o,
2010,March,29,29.8,34.7,26.2,1006.6,63,0,4.8,8,9.4,-,,,,
2010,March,30,,,,,,,,,,,,,,
2010,March,31,,,,,,,,,,,,,,
2010,April,1,30.4,36.1,27.8,1003.7,71,0,4.8,8.3,11.1,-,,,,
2010,April,2,30.7,35.1,27.8,1006.2,66,0,5,8,9.4,-,,,,
2010,April,3,30.3,35.4,27.3,1007.3,67,0,5.3,7.4,11.1,-,,,,
2010,April,4,,,,,,,,,,,,,,
2010,April,5,,,,,,,,,,,,,,
2010,April,6,,,,,,,,,,,,,,
2010,April,7,30.8,36.3,27.8,1009.9,64,0,5.3,4.6,7.6,-,,,,
2010,April,8,31,37,26,1009.1,63,0,5.3,11.5,37,-,,,,
2010,April,9,30.7,37.3,26.8,1004.5,72,0,5.3,6.1,7.6,-,,,,
2010,April,10,,,,,,,,,,,,,,
2010,April,11,,,,,,,,,,,,,,
2010,April,12,,,,,,,,,,,,,,
2010,April,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,April,14,30.9,35.2,28.2,1007.1,65,0,5.5,7.4,9.4,-,o,,,
2010,April,15,31.6,36.1,28,1009,62,0,5.8,3.1,5.4,-,,,,
2010,April,16,29.4,35.2,23.6,1007.9,61,14.48,5.5,3.5,3.5,-,,,,
2010,April,17,,,,,,,,,,,,,,
2010,April,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,April,19,,,,,,,,,,,,,,
2010,April,20,,,,,,,,,,,,,,
2010,April,21,31.5,35.8,29.4,1002.7,68,0,5.8,9.8,14.8,-,,,,
2010,April,22,31.2,36.1,28.6,1004.6,70,0,5.3,9.4,11.1,-,,,,
2010,April,23,31.4,36.2,29,1005.9,65,0,5.5,9.3,11.1,-,,,,
2010,April,24,,,,,,,,,,,,,,
2010,April,25,,,,,,,,,,,,,,
2010,April,26,,,,,,,,,,,o,,,
2010,April,27,27.9,33.7,22.8,1010.9,61,0,5.3,5.6,9.4,-,,,,
2010,April,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,April,29,27.9,35.3,25.6,1008.5,68,0,5.3,2.2,5.4,-,,,,
2010,April,30,27.9,32,24.7,1009.5,73,0,5.5,4.6,9.4,-,o,,,
2010,May,1,30.6,35,25.8,1008.1,65,0,5.3,0.9,3.5,-,,,,
2010,May,2,27.1,33,24.8,1007.4,87,27.18,5,4.1,9.4,-,o,,o,
2010,May,3,29.8,35.4,25,1004.8,67,0.25,5.5,4.3,9.4,-,,,,
2010,May,4,,,,,,,,,,,,,,
2010,May,5,,,,,,,,,,,o,,,
2010,May,6,,,,,,,,,,,,,,
2010,May,7,28.4,35.5,25.2,1004.6,66,3.3,5.3,1.9,3.5,-,,,,
2010,May,8,28.2,32.4,23.2,1003.4,69,0,5.5,5.2,9.4,-,,,,
2010,May,9,31.2,35.9,27.2,1000.9,69,0,5.3,8,9.4,-,,,,
2010,May,10,,,,,,,,,,,,,,
2010,May,11,,,,,,,,,,,,,,
2010,May,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,May,13,,,,,,,,,,,,,,
2010,May,14,29.7,36,23,-,71,28.96,5.3,5.9,9.4,-,,,,
2010,May,15,30.3,34.9,24.7,1002.8,66,0,5.8,6.5,7.6,-,,,,
2010,May,16,30,35.3,27.4,1003.2,70,1.52,5.8,4.6,9.4,-,o,,,
2010,May,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,May,18,,,,,,,,,,,,,,
2010,May,19,,,,,,,,,,,,,,
2010,May,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,May,21,,,,,,,,,,,o,,,
2010,May,22,27.6,30.6,26,1006.4,82,0.76,5.3,4.6,9.4,-,o,,,
2010,May,23,29.1,34,25.4,1004,73,0,5.8,1.3,5.4,-,,,,
2010,May,24,28.5,32,26.3,1000.5,77,0,6,5.9,9.4,-,,,,
2010,May,25,,,,,,,,,,,,,,
2010,May,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,May,27,,,,,,,,,,,,,,
2010,May,28,,,,,,,,,,,,,,
2010,May,29,29.2,33.2,26.3,1003.3,76,1.02,5.8,3.1,5.4,-,,,,
2010,May,30,30.2,35.4,27.6,1002.1,77,0,6,3.1,5.4,-,,,,
2010,May,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,June,1,31.1,35,27.4,1002.7,78,0,4.3,-,-,-,,,,
2010,June,2,30.8,35.3,27,1003.9,74,9.91,5.3,4.1,9.4,-,,,,
2010,June,3,26.3,32.9,24.7,1004.2,84,21.34,5,2.2,3.5,-,o,,o,
2010,June,4,,,,,,,,,,,o,,o,
2010,June,5,,,,,,,,,,,o,,,
2010,June,6,,,,,,,,,,,,,,
2010,June,7,31.2,35,28,1001.1,78,0,6,3.5,3.5,-,,,,
2010,June,8,31.4,35.5,29.6,1002.1,73,0,6,6.1,9.4,-,,,,
2010,June,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,June,10,31.6,35.8,29.2,1003.7,70,0,6.3,1.9,3.5,-,,,,
2010,June,11,,,,,,,,,,,,,,
2010,June,12,,,,,,,,,,,o,,,
2010,June,13,,,,,,,,,,,o,,,
2010,June,14,29.2,32.7,26.6,1001.5,79,0,6.3,3.1,5.4,-,,,,
2010,June,15,29.6,33.2,27.4,-,76,7.87,5.5,1.9,3.5,-,,,,
2010,June,16,29.4,32.3,28.2,1000.9,82,0,5.3,5.6,9.4,-,o,,,
2010,June,17,,,,,,,,,,,o,,o,
2010,June,18,,,,,,,,,,,,,,
2010,June,19,,,,,,,,,,,o,,,
2010,June,20,29.1,30.9,28,1003.6,80,3.56,5.8,5.6,7.6,-,,,o,
2010,June,21,30.3,34,27.8,1001.3,75,0,6.3,5,7.6,-,,,,
2010,June,22,29.3,32.3,28.6,1000.3,82,0.51,5.8,4.1,7.6,-,o,,,
2010,June,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,June,24,,,,,,,,,,,,,,
2010,June,25,,,,,,,,,,,o,,,
2010,June,26,,,,,,,,,,,o,,,
2010,June,27,29.2,32.9,27.8,1001.3,84,9.91,5,4.1,13,-,o,,,
2010,June,28,28.5,30.9,27.4,1000.4,86,50.29,4.2,8.7,18.3,-,o,,,
2010,June,29,26.3,28.4,25,1001,90,11.68,4,3.1,5.4,-,o,,o,
2010,June,30,,,,,,,,,,,,,,
2010,July,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,July,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,July,3,29.4,33,27.4,1003.7,75,3.81,6,2.8,5.4,-,o,,,
2010,July,4,30,34.3,27.6,1005.5,75,0.25,5.8,2.8,5.4,-,o,,,
2010,July,5,28.1,31.7,26,1005.4,84,15.49,5,1.9,3.5,-,o,,,
2010,July,6,,,,,,,,,,,,,,
2010,July,7,,,,,,,,,,,o,,,
2010,July,8,,,,,,,,,,,,,,
2010,July,9,30.4,34.5,27.8,1003.6,73,0,5.8,5,7.6,-,,,,
2010,July,10,30.4,34.7,28.3,1002.3,77,12.95,5.8,3.1,5.4,-,o,,,
2010,July,11,29.1,31,28,1001.3,81,1.78,5.3,2.8,7.6,-,,,,
2010,July,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,July,13,,,,,,,,,,,o,,,
2010,July,14,,,,,,,,,,,o,,,
2010,July,15,,,,,,,,,,,,,,
2010,July,16,30.9,34.7,28.2,1002.6,69,0,5.8,2.8,3.5,-,,,,
2010,July,17,30.8,34.8,28.4,1002.9,71,0,6,2.8,3.5,-,,,,
2010,July,18,30.5,33.5,28.3,1002.8,77,0,5.8,2.8,3.5,-,,,,
2010,July,19,,,,,,,,,,,,,,
2010,July,20,,,,,,,,,,,o,,,
2010,July,21,,,,,,,,,,,o,,,
2010,July,22,29.8,33,28.2,1002.2,77,5.08,5.8,3.7,7.6,-,o,,,
2010,July,23,30,33.8,27.6,999.2,76,2.54,5.5,3.7,7.6,-,o,,,
2010,July,24,29.1,33.5,27.7,997.2,81,14.99,5.5,6.1,9.4,-,o,,o,
2010,July,25,,,,,,,,,,,o,,,
2010,July,26,,,,,,,,,,,,,,
2010,July,27,,,,,,,,,,,,,,
2010,July,28,30.8,35,27.8,1001.9,73,8.64,5.8,0.9,3.5,-,,,,
2010,July,29,29.1,31.8,27.8,1002.2,82,17.53,5.3,1.9,3.5,-,o,,,
2010,July,30,28.7,32,27.2,1003,78,3.05,5.3,3.5,3.5,-,o,,,
2010,July,31,,,,,,,,,,,o,,,
2010,August,1,29.1,32.3,27.2,1003.8,78,23.11,5.3,2.2,5.4,-,,,,
2010,August,2,30,34.1,26.8,1003,72,0,5.5,3.1,5.4,-,,,,
2010,August,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,August,4,29.1,33.3,25.6,1001,78,29.97,5.6,2.2,5.4,-,,,o,
2010,August,5,,,,,,,,,,,,,,
2010,August,6,,,,,,,,,,,,,,
2010,August,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,August,8,,,,,,,,,,,o,,,
2010,August,9,30.7,35.1,28.5,1001.1,77,0,6.4,0.4,1.9,-,,,,
2010,August,10,30.1,34.1,29,1001.6,82,4.57,5.5,0,-,-,o,,o,
2010,August,11,29.5,33.3,27.6,1002.7,84,78.99,5.5,0.9,3.5,-,o,,,
2010,August,12,,,,,,,,,,,o,,,
2010,August,13,,,,,,,,,,,,,,
2010,August,14,,,,,,,,,,,o,,,
2010,August,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,August,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,August,17,29.7,33.1,27.6,1003,77,0.25,5.5,3.7,7.6,-,,,,
2010,August,18,30.2,33.7,28.2,1003.6,75,0,5.3,1.9,3.5,-,,,,
2010,August,19,28.7,32.5,27.2,1006,85,22.1,5.5,0.9,3.5,-,o,,o,
2010,August,20,,,,,,,,,,,o,,,
2010,August,21,,,,,,,,,,,o,,o,
2010,August,22,,,,,,,,,,,,,,
2010,August,23,29.9,33.8,27.8,1002.8,77,0,5.3,0,-,-,,,,
2010,August,24,29.2,33.5,28,1002.6,82,3.81,5.3,1.9,7.6,-,o,,o,
2010,August,25,29.3,33.3,27.8,1003.8,82,36.07,5.3,0.9,3.5,-,,,,
2010,August,26,,,,,,,,,,,o,,,
2010,August,27,,,,,,,,,,,,,,
2010,August,28,,,,,,,,,,,,,,
2010,August,29,29.9,34,27,1002.6,75,0,5,0.9,3.5,-,,,,
2010,August,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,August,31,29.6,32.1,27.8,1002.3,72,0.76,5.3,4.1,5.4,-,,,,
2010,September,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,September,2,30.5,33.8,27.2,1004.1,69,0,5.5,0.9,3.5,-,,,,
2010,September,3,28.9,31.2,26.6,1003.8,80,1.78,5.3,0.4,1.9,-,o,,,
2010,September,4,30.2,33.7,27.8,1003,74,1.52,5.5,2.2,3.5,-,,,,
2010,September,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,September,6,,,,,,,,,,,,,,
2010,September,7,,,,,,,,,,,,,,
2010,September,8,,,,,,,,,,,o,,,
2010,September,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,September,10,30,33.1,28.4,1004,78,0,5.8,2.2,5.4,-,,,,
2010,September,11,28.7,33.3,27,1004.5,77,2.03,5.5,0,-,-,o,,,
2010,September,12,29.2,33.2,26.8,1004.5,78,4.32,5.3,1.3,5.4,-,,,,
2010,September,13,,,,,,,,,,,o,,o,
2010,September,14,,,,,,,,,,,o,,,
2010,September,15,,,,,,,,,,,o,,,
2010,September,16,28.3,31.7,26.2,1004.2,85,23.62,5.3,2.2,5.4,-,,,,
2010,September,17,28.8,32.6,26.4,1004.2,75,0.25,5.5,4.6,9.4,-,,,,
2010,September,18,27.8,31.8,26.5,1005.2,84,6.1,5.3,2.4,9.4,-,,,,
2010,September,19,,,,,,,,,,,o,,,
2010,September,20,,,,,,,,,,,,,,
2010,September,21,,,,,,,,,,,,,,
2010,September,22,27.7,32.5,26.6,1006.4,87,2.03,5.5,0,-,-,o,,,
2010,September,23,29.2,33,26,1005,77,0,-,0.9,3.5,-,,,,
2010,September,24,28.8,32.5,27,1004.7,78,5.08,5,5.6,16.5,-,,,o,
2010,September,25,,,,,,,,,,,o,,,
2010,September,26,,,,,,,,,,,o,,,
2010,September,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,September,28,,,,,,,,,,,o,,o,
2010,September,29,29.1,33.1,25.5,1008,76,0,4.8,0,-,-,,,,
2010,September,30,28.8,33,26.4,1007.9,79,5.33,5,0,-,-,,,,
2010,October,1,29.3,33.8,26.4,1007.7,75,0,5.5,0,-,-,,,,
2010,October,2,29.8,34.3,27,1007,76,0,5.3,0,-,-,,,,
2010,October,3,30.7,35.3,26.8,1006.4,72,0,5.3,0.9,3.5,-,,,,
2010,October,4,,,,,,,,,,,,,,
2010,October,5,,,,,,,,,,,,,,
2010,October,6,,,,,,,,,,,o,,,
2010,October,7,24.6,25.2,24,1004.7,95,43.43,3.7,7.8,11.1,-,o,,,
2010,October,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,9,25.5,27.6,24,-,86,0,4.8,3.5,5.4,-,o,,,
2010,October,10,26.6,31.5,23.3,1003.7,79,0,5.5,0.9,3.5,-,,,,
2010,October,11,,,,,,,,,,,,,,
2010,October,12,,,,,,,,,,,,,,
2010,October,13,,,,,,,,,,,,,,
2010,October,14,29.2,34.2,25.6,1003.2,77,30.73,5,0.4,1.9,-,o,,,
2010,October,15,28.9,33.5,26,1005.2,75,0.51,5,2.4,7.6,-,o,,,
2010,October,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,18,29.5,33.3,26.8,1006.9,75,0,5,0.9,3.5,-,,,,
2010,October,19,,,,,,,,,,,,,,
2010,October,20,,,,,,,,,,,,,,
2010,October,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,October,30,,,,,,,,,,,,,,
2010,October,31,26.8,32.6,23.6,1011.4,76,0,4.2,0,-,-,,,,
2010,November,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,10,25.6,31,21.5,1011.8,66,0,4.8,0.9,3.5,-,,,,
2010,November,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,12,24.5,29.7,21.2,1008,75,0,4.5,0.9,3.5,-,,,,
2010,November,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,20,25.2,30.1,22.8,1007.2,75,0,4,1.9,3.5,-,,,,
2010,November,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,26,,,,,,,,,,,,,,
2010,November,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,November,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,17,22.3,29.3,19,1010.7,65,0,3.7,3.7,11.1,-,,,,
2011,February,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,February,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,21,28.2,34,25,1005,68,0,4.2,6.5,7.6,-,,,,
2011,March,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,March,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,April,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,April,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,April,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,April,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,April,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,April,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,April,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,April,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
